cluster,cluster_name,opening,reviewText,star_rating,helpfulness_votes,word_count,domain
1,Acquisition Narrative,Bought this bag specifically to take to the Galapagos Islands,"Bought this bag specifically to take to the Galapagos Islands for my D200. Carried my D200, a 70-300mm and 24-85mm lens with no problem, I also carried on a regular basis my Epson P-5000 photo viewer and all the additional batteries, cards, and cables. Sometimes I even used the left over space for water bottles. Its a good compact little bag. I dragged it all over 5 different Islands over a course of 25. It went everywhere with me and took everything I threw at it. Good Choice here.",5.0,4.0,89,Electronics
1,Acquisition Narrative,An entertaining and sometimes insightful series of sketches about ex-pat,"An entertaining and sometimes insightful series of sketches about ex-pat life in Delhi. A good gift for someone traveling that way, fun to read in the city.

I'd also recommend Rohinton Mistry's _A Fine Balance_ if you're going to India--for the perverse reason that it is so overwhelmingly depressing that it nearly adequately prepares first-time visitors for the experience. Incidentally, Mistry's book is also interesting on Indian history, and a beautifully well-written and plotted novel.

Two very different books, but a good pairing for visitors--armchair or otherwise.",5.0,2.0,87,Books
1,Acquisition Narrative,I bought a copy of this years ago and remember,"I bought a copy of this years ago and remember it being better, but reading though it now after having spent a good amount of time in the woods, I'm not impressed.

Too many topics on a skill are given a sentence or two at best, while actually performing that skill well would take literally hours (or days) of troubleshooting and hands on practice. There are very few tips and tricks offered, only lip service to the general principles of a topic.

This book might be useful in helping someone figure out what they don't know, but I wouldn't recommend it as a resource for people to learn from.

The author may be very knowledgeable on these topics but this book seems to want to cover too much, without sufficient detail.  I would much rather see it split up into 5 books with 5x the detail in each book.

Bushcraft by Mors Kochanski covers camp-craft and woodland survival (shelter, fire, tree-felling, coradage making, etc)  in much greater detail, and pre-dates this book by decades.  I learned far more from that book than I have from this one.  Some of the info on wild edibles is worth keeping around for reference, though.",2.0,3.0,201,Books
1,Acquisition Narrative,My home suffered a lightening strike and I lost about,"My home suffered a lightening strike and I lost about $3,000 worth of equipment that was not protected by surge protectors.  The equipment that was protected by Trip-Lites all survived.  I also use these at work.  My lead technician, and old hand, swears by them so I bought some for at home.  Glad I did.  I just ordered three more to protect the equipment I'm replacing from that last lightening strike. I'll be ready next time.",5.0,2.0,76,Electronics
1,Acquisition Narrative,Heed all the reviewers who say to get a switch,"Heed all the reviewers who say to get a switch rather than a hub! Especially with this one: it's dirt cheap in price but not quality! On this, each port has a dedicated 100 Mbps (or 200 in full duplex) of bandwidth.
The only 'downside' is that the 5th port and the Uplink are shared, so you can only use one or the other. Seems to be standard on the smaller-sized Linksys products though, not a big deal. (This is even better if you can get it on sale but even on Amazon.com it is very reasonable!).
I have read that some top brands are better than other top brands. I haven't had much experience with using a wide variety of network equipment brands, but as far as Linksys goes I am completely satisfied. I have two BEFSR41 Cable/DSL Routers, several NIC's (network cards, LNE100TX, across several release versions), their dual intigrated 56K modem/Fast Ethernet PC Card (awesome, and no dongle!), and now this switch from them, and I don't have any complaints - they will continue to be my first choice.",5.0,3.0,182,Electronics
1,Acquisition Narrative,I first bought this transmitter as an alternative to the,"I first bought this transmitter as an alternative to the pocket wizards. Most of the work I do with this transmitter is outdoors. Greats pretty good outdoors, even if both, the flash and the receiver are under direct sunlight (flash has fired every single time). Of course, since it is an infrared wireless trigger system, the only limitation you have is that the flash has to be in front or above the camera to be triggered. Outdoors, you have to be within a horizontal  working distance of 10-15 feet, and you can be about 30 feet away from the flash within the horizontal working distance (although most of us, will be working within 12 feet of our subject). I would highly recommended. i even got to use it with an umbrella directly in front of the flash, and the flash could still be triggered without any problems.",4.0,2.0,147,Electronics
1,Acquisition Narrative,Any reader of Bulgakov already knows from his other works,Any reader of Bulgakov already knows from his other works that he was a rare talent whose gifts were all too suppressed by the Soviet state.  These interconnected stories about a young physician assigned to a country clinic are fascinating.  I recommend them highly.,5.0,2.0,44,Books
1,Acquisition Narrative,I bought this in 2003 for driving between the town,"I bought this in 2003 for driving between the town I work in and my home town 2 hrs away on I-40 thru Arkansas, A LOT OF HIGHWAY PARTOL. I picked up truckers far enough ahead, 3-5 miles that I could hear talking when cops were moving. It saved me many times. The weather bands pickup very well on this radio. I later bought a replacement radio from Radio Shack that completely sucked. The weather bands would bearly ever pickup so I was missing this radio. I more recently, 2012, put a full size CB in my SUV and there is hardly any air traffic. The problem about using a CB radio these days for driving alerts is that truckers all now use cell phones and rarely ever speak on the CB, it is as quiet out there as it has ever been. So unless you are using this for communicating on a trip with another vehicle in a group, then it is pretty much useless. CB's, as far as my opinion, are history. A Marine/UHF radio is better these days as far as communicating or those GNRS radios, some of which can speak out to 25 miles on a good day.",4.0,4.0,202,Electronics
1,Acquisition Narrative,I managed somehow to never read this book as a,"I managed somehow to never read this book as a youngster but corrected that when I was in my 20s.  Since it had been so many years (about 30) and I was getting ready to read&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/March/dp/B0029WILXU/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">March</a>&nbsp;by Geraldine Brooks, I wanted to go back and re-read this first novel.

As many other reviewers have said, this story starts off quite slowly and I was initially disappointed.  It wasn't the book I remembered.  Deciding to stick with it, I kept going and it picked up steam as it went along becoming the book I enjoyed previously.

I wonder how young girls react to this now when ""The Hunger Games"" and ""Gossip Girl"" seem to be the norm and are so vastly different from this.  The early stages are sugary sweet and there is quite a bit of preaching on religion and morals throughout that might make the younger ones roll their eyes a bit.  While it has largely aged well, it must be read for the time period in which it was written.

I am very glad I re-read it as an adult.",4.0,17.0,184,Books
1,Acquisition Narrative,I agree with those who found some parts slow and/or,"I agree with those who found some parts slow and/or confusing, but I was stopped short over and over by passages that left me wondering how the author was able to craft descriptions in ways that every English teacher should use as exemplars when teaching figurative language elements! Scrumptious!",4.0,2.0,49,Books
2,Evaluative Positioning,I wasn't exactly sure why I purchased the most expensive,"I wasn't exactly sure why I purchased the most expensive mp3-cd player I could find, but I was sure there was a reason. This thing rocks. I've had mine for about a week now and feel that I've played with it for enough hours. First let me say I'm still on the first set of batteries, which is very cool. When the shock protection is on (120 seconds) in mp3 mode it actually reads the first 2 minutes of a song into memory in under 20 second, for the next 1:40, it lets the CD spin down, saving battery life.
The ability to lock the main unit without locking the remote (in any combination such) is very nice too. I leave mine in the back compartment of my backpack, and just run the remote out to one of the straps, controling it from there.
One thing I'd like to see that would possibly bring the battery life out to 20+ hours would be to disable the backlight, especially when the remote is in control of it. the case is nice, but the belt loops on the back are un-needed. I cannot imagine putting this thing vertically at my belt, and this is coming from a person who carries a Leatherman, a Maglight, and a Cell Phone on his belt every day!
Another feature I'd like to see is the ""skip 10 tracks"" button put on the remote. It's not all that useful on the unit because you can just go into directory navigation mode there.
The main problem with the unit I've had so far is that when the CD has spun down it takes a LONG time to do track skipping. The initial load time as it cache's the FAT table is understandably yet annoyingly long - it takes about 15-20 seconds after you hit ""play"" to hear anything at first.
Overall, however, I've been very happy with this unit, as has everyone else I know who owns one.",5.0,7.0,330,Electronics
2,Evaluative Positioning,"This is the first Sharpe novel I have read, although","This is the first Sharpe novel I have read, although I did catch some of the TV series.  I am not a fan of multiple formula novels churned out by lazy writers, and I was suspicious of this series.
But Cornwell has done something different here.  He has taken real events, from the career of Arthur Wellesley (later the Duke of Wellington).  Then he has inserted the character of Richard Sharp, a canny ex-thief ranker in the British Infantry.  One of the men Wellington was to describe as ""Scum of the Earth"" after Badajoz.  From the viewpoint of Sharpe we see the business end of the British Army, a worms eye view of the rise of Wellesley and the Indian and Peninsular campaigns.
What you are getting is real history fleshed out with a cracking good story.  And it is very well done!  I am very tempted to dig further into this substantial series of books.  I can see why they have become so popular.",5.0,2.0,165,Books
2,Evaluative Positioning,I've owned a Collins gem Portuguese dictionary since the 1970's.,"I've owned a Collins gem Portuguese dictionary since the 1970's.  I have carried it for years when I needed it.  I have worn off half the cover from use. (Yet the binding is still intact, and there are no loose pages, so you know it is of good quality.)  The 4th edition is the current edition.

Having used all the various editions, and still using them all as I keep one in various places at home/office etc., I can compare the strengths and weaknesses.

First of all, the Collins gem dictionary is the best portable dictionary around.  I have used or examined all of the others and thrown or given them away because the Collins is the best.  It is written clearly, has the most words, and contains as much information as possible for a small book.  It is truly pocket size, meaning it will fit in your shirt pocket.  Over the years it has gotten a little thicker due to more words, more definitions of each word, and thicker paper.  I personally think it's about a half inch too thick to be really comfortable in my shirt pocket, but unless you can find an older, thinner version with the onion skin paper, this is the best you can do.  I do have concern that the newer, thicker paper might not wear as well.  The onion skin paper seems to hold up better in my 50 year old Bible, and I wonder if this new paper will be as durable.  (I guess I'll find out in another 30-50 years)

This edition (4th) has a plasticized cover so it won't break down like my 30 year old copy.  It also has more entries under each word.  For example, a common verb like the English ""run"" has dozens of definitions. It would be impossible to list them all in a pocket dictionary, but the latest editions have more than the earlier editions.  This makes it more likely to get an accurate translation of a word.  This edition also has better explanatory pages listing verb conjugations and the like.  Unless you could already conjugate ""ser"" - ""to be"" - how would you otherwise know that ""seja"", ""fui"", and ""foram"" were all forms of ""ser""?  However, the dictionary still only lists ""see verb ser"" under these conjugations.  There is plenty of room on the line next to ""fui"" to define it (""I was"") rather than just refer to another page.  But it continues to improve over the years.

For more formal translation work, or to use on archaic literature, I use a more complete dictionary - Novo Michaelis.  Its 2 volumes are about 18 inches thick and anything but portable, however.

I recommend getting books from the US or Europe, rather than Brazil.  Brazil, though fairly literate, has the lowest number of bookstores in the developed world per capita.  This lack of a market means that the in-country publications are of poor quality and poorly edited and proofread.  I rarely saw books in a Brazilian home unless they were schoolbooks, sciptures, pornography or in a teacher or intellectuals house.  Lately, Brazilian publishers have taken to just publishing crooked photocopies that are often unreadable in their books and it can be difficult to even find a brand new book that doesn't already have a broken binding or loose pages.

For travel, or ordinary translation needs, this will serve quite well, and though I am quite fluent in Portuguese, I still use this most often when I need help to translate some literary word I have forgotten or never learned.  Highly recommended from this user of 30 years.",4.0,6.0,602,Books
2,Evaluative Positioning,the merits of this work by christie lie as i,"the merits of this work by christie lie as i see them, not in the logical procedures of the detectivews work, or spy, but in the connection between the author's style, and the reason for the novel being wriiten. christie writes, from the height of her years, that she sought to rationalize the violent changes to society, several decades after such horrors should have been expunged when ww2 ended. the world wasn't playing like a gentleman. the style chosen, is very similar to that of several noted adventure writers from sir anthony hope, whose ruritania adventures are mentioned, to sir arthur conan doyle (not much liked by christie, one should note) and specifically his story ""the final problem"" which is alluded to in a character which i shall not reveal.

it is true, that in the late 1960's espionage novels were very different in style from those that christie knew and assimilated in the early 20century, and thus one may feel as though sir anthony hope reappeared not much changed after 90 years, but christie is well aware of the discrepancies and presents them in a playful way. the result is not only a fond farewell to a much more sensible and sporting sense of skullduggery, but a concious addmission of personal anguish at seeing all sens flee from even the world of crime, not only the world itself.

nobody blamed sir arthur conan doyle when he wrote serlock holmes into the general attempt to make sense of the horrors of ww1 in ""the final problem"". neither did we grudge superman and tarzan when they fought hitler. can we thus grudge agatha christie's small and playful last-ditch-attempt at making sense in a world gone mad?
i don't think we should, or can. this book is fun.",5.0,3.0,296,Books
2,Evaluative Positioning,"Despite most people giving this lens a five-star rating, i","Despite most people giving this lens a five-star rating, i did not see anything overly great about it. Six hundred dollars buys you great build-quality- a metal mount, a real manual focusing ring, and a USM motor, but in practice this lens didn't perform much better than one of my Cheap Nikkor 55-200mm f/4-5.6 zoom lenses. Like a few of my photographer-friends pointed out you pay for durability and optical quality, and you get those things with this lens. In my opinion, you could get just as good results with a general-purpose zoom lens- and this lens is not much faster than a regular zoom lens either. The lens hood wasn't that great either. It does its job, but it doesn't stay in place (it doesn't lock on). It's made of a great material inside though. I am sure most people reviewing this product here are professional photographers. I, however, am representing the at-home amateur photographer on a budget. The quality of the glass may be better, but in the end, i did not see a four hundred dollar difference (considering the cheaper zoom lens was $200 dollars). I found this lens great for portraiture, but it performed basically identically to my cheaper lenses with other subjects like flowers.

In conclusion, you get a little sharper results and MUCH BETTER build quality with this lens. Do you get your money's worth? I do not feel you do. Perhaps it would be a wiser decision to save up a lot more and spend your money on the 70-200mm f/2.8L IS lens. I learned my lesson with this lens, and am going to stick with cheaper, sharper, prime lenses. If you are on a budget, you should perhaps spend your money differently.

If you want to share an opinion with me, you can contact me at nathangrammatico@yahoo.com, or nathan_grammatico@hotmail.com. I am not giving Canon a bad name, i am expressing my opinion.",3.0,21.0,320,Electronics
2,Evaluative Positioning,Had to wait until I finally got my DSL working,Had to wait until I finally got my DSL working then connected 3 computers to the unit. All my computers are in the same room so wireless seemed like a lot of wasted money and time setting up. Everything works very well. I have recommended to my younger brother to get one. Great product.,5.0,5.0,54,Electronics
2,Evaluative Positioning,I teach British Literature and find the price is right,"I teach British Literature and find the price is right for my students, the book size is a bit too small, and the intoductory and closing notes and essay are very good.",4.0,2.0,32,Books
2,Evaluative Positioning,"You know, I've read reviews saying that these books are","You know, I've read reviews saying that these books are trying to shove religion and Christianity down children's throats, but I speak from experience. I grew up with my Dad who is a very strict Catholic, and I never caught the religious symbols. I saw the battle between Good and Evil, I saw the choices between Right and Wrong and the struggle between Willpower and Desire. I saw a lesson for children of any religious or racial background. C.S. Lewis wrote about the good creator, Aslan, and about evil in many forms. And if he were really trying to tout his message, fauns, centaurs, Lions, conscious talking animals, etc. would not have been used. I believe he just wanted to give children and truly enjoyable story with a message of the difference between Good and Evil and how to be a Good, Cosciencious person!
It worked for me, while other kids were playing video games and reading books that were either non-sensical or rather violent, I was becoming a deep thinker. These books helped me to become older than my age. They gave me something to believe in while fighting my way through the ignorant persecution of the mindless children around me. I did find a sort of spirituality, but not in a dominating religious way. I found the inherent goodness in life, the belief in powers not conceivable by humans and the peace that comes from this knowledge, that some things are meant to be and that we do have others watching over us.
As for any racial/sexist inuendos, you have to keep in mind that these books were written at a time when the bad guys tended to look a bit Middle-Eastern, it was simply an early 20th Century British outlook, an unconscious racism. C.S. Lewis would know better today, but then he probably didn't even consider it. Besides, all the Evil people ARE NOT Middle Eastern! What about The WHITE Witch? Tall, fair and CAUCASIAN! As was the Witch/Serpent of The Silver Chair. Caspian's EVIL Uncle Miraz was WHITE too! And as for the girls not fighting, that was C.S. Lewis' personal knowledge. He fought in WWI, he knew what a gory, awful sight war was. He was protecting the girls from being damaged by such horrors.
Now to get to my other point. THIS Numerical Chronological Order is as it was INTENDED. Here's a rundown:
#1.) The Magicians Nephew: Creation of Narnia, first humans to enter the land come into play.
#2.) The Lion, The Witch and The Wardrobe: Peter, Susan, Edmund and Lucy enter Narnia via the Wardrobe which was made possible by an object brought back to our world because of the Magician's Nephew.
#3.) The Horse and His Boy: Peter, Susan, Edmund and Lucy are still in Narnia at this time, it involves a bit of backtracking but cannot be read before The Lion, The Witch and The Wardrobe OR after Prince Caspian, because by then, The Pevensies have already come back again and are remembering their court days.
#4.) Prince Caspian: Peter, Susan, Edmund and Lucy are back again and find Cair Paravel much different than it was when they left. They must restore a new ruler to the throne.
#5.) The Voyage of the Dawn Treader: Prince Caspian is King and takes Edmund and Lucy on a new adventure.
#6.) The Silver Chair: Eustace is back again and must help King Caspian's son.
#7.) The Last Battle: A descendant of Caspian needs help yet again and all our old friends from all the previous books come back to find a surprise more wonderful that they ever could have possibly imagined!
This order makes the most sense. If you want to be suprised by the Professor, Lampost, etc. Then read the 2nd book (The Lion, The Witch and The Wardrobe) first and then read the 1st book (The Magician's Nephew) second to find out about all the stuff that happened before and why the lampost is there, etc. After that, proceed on as I have numbered the books above.
Honestly people, admit that it doesn't make sense to get all the way through all the visits with the Pevensies and getting to know Narnia well and then have to backtrack all the way back to the beginning JUST before you read the end! I can't understand why people continued to publish them that way. I know, I know, it is how they were first released. BUT, C.S. Lewis did that as an afterthought so that when more people read his books, they could know the story of Narnia so that they had something to build on by the time they read The Lion, The Witch and The Wardrobe!
Chronological order makes the most sense, backtracking back to the beginning and the Golden Age of Narnia can only be confusing! This boxed set has the right idea, Mix up the first two books if you must (meaning read #2 and I have numbered it first and then read #1) but please, don't read #1 and #3 right before reading #7 and after reading #'s 2, 4, 5, and 6! Backtracking through the ellapse of Time in Narnia is very silly. Who cares in what order they were written and published? Read them in the order in which TIME and the STORYLINE PROGRESSES!",5.0,11.0,889,Books
2,Evaluative Positioning,Notice how Amazon recommends purchasing together the Belkin cable and,"Notice how Amazon recommends purchasing together the Belkin cable and Fujitsu SnapScan???

Well I thought I would give myself more flexibility in positioning my scanner by using this longer cable.  And since it was recommended by Amazon that others purchase these 2 products together (and Amazon cuts you a deal to boot), why not get both???

BIG MISTAKE!  I spent hours reading every technical support item that came with my Fujitsu SnapScan to learn why my brand new scanner isn't ""recognized"" by any of my computers (after loading the drivers).  Luckily, it was too late to call technical support (they are only available from 5am to 5pm M-F).  So I took my new scanner home and slept on it.  When I woke up this morning, I thought let me try one more time:  this time I only used the products that came with the Fujitsu SnapScan = and it worked like a breeze!!!

LESSONS LEARNED:  BELKIN (and other manufacturers' products) MAY NOT BE COMPATIBLE !!!

So if you are using this product with Fujitsu's SnapScan = definitely pass.

And message to AMAZON:  Please do a little home work when you advertise bundled products.  I expected that your smarty pants technology guys would only suggest purchasing products which work with one another.",1.0,4.0,211,Electronics
2,Evaluative Positioning,I bought this item to go nature viewing and must,"I bought this item to go nature viewing and must say that it really is a great binocular for the price. The items viewed have a really nice 3-dimensional look to them and the diopter comes in handy even for someone with very bad vision like myself. The focus for this model (16 x 50 Wide Angle) is a flat tab between the barrels that makes it VERY convenient to use without having to look or stretch your fingers. It gives a very nice field of vision and has roll down eye cups, which is good just in case you want to wear your glasses or shades. The binoculars do shake a little b/c of the power of the magnification. And it can be a chore to hold for long periods of time b/c of its weight. It weighs about as much as one of Michener's hardback novels.

 Here is where it can get interesting. The binoculars come with a pleather carrying case, a really cheap neck strap that looks like a plastic shoelace, and a cheap cleaning cloth that is way too abrasive to be used everyday. I suggest replacing both the neck strap and cleaning cloth as soon as you can. The soft, microfiber cloths they sell in eyeglass stores works great. Plus, pick up some of the eyeglass cleaner (spray directly onto cloth, not lens) as it really gets the lens clean and protects any coating on the glass.

 Tripod use: highly recommended to get a steady picture. You can get a regular camera tripod for around 18 dollars. Yes, this binocular comes with a tripod adapter. No, it's not very easy to find.  The instruction booklet is virtually useless, but I found out through the website that the adaptor is located behind the front cap between the barrels. Just screw the cap off and viola, there is your threaded coupler. You will still need to get a binocular adaptor to connect the binoculars to the tripod, but I've found that they aren't too expensive: around 7-16 dollars for the generic models. I gave this item 4 stars b/c of the poorly written instruction manual and cheap accessories. Hope some of this info helps. Can't wait to see the stars tonight!",4.0,25.0,374,Electronics
