reviewerID,asin,domain,open_10w,cluster,cluster_name,manual_label,confidence
A1GXOPDPVWA3U9,2247399,Books,I have to preface by saying I loved book 1,5,Affective Stance,Evaluative Positioning,High
A2TOF4XHTOD41V,2245833,Books,"This is not my favorite Sillitoe book, but it's probably",5,Affective Stance,Evaluative Positioning,High
A1T17LMQABMBN5,2255197,Books,I have read various book of this sort -- a,3,Direct Evaluation,Contextual Framing,High
AXWBC01RQHYKV,2213311,Books,This book had so much promise at the start: a,0,Product Reference,Product Reference,Medium
A2ITEMEL0DTX8A,2160552,Books,As an Indian American I figured it was about time,6,Contextual Framing,Contextual Framing,High
A3RXEZ2XX8SOHI,6248365,Books,Teilhard opens what is generally regarded as his most significant,5,Affective Stance,Contextual Framing,Medium
A2TUO3HWVIJB04,6160794,Books,Maybe I have my head in the sand but I,1,Acquisition Narrative,Evaluative Positioning,High
A2F0ROXOUD8890,6064922,Books,I wanted a bible small and thin enough to read,1,Acquisition Narrative,Affective Stance,High
A342DE0T25GDG0,1844423,Books,"Between ages 10 and 14 or so, I kept track",7,Terse Evaluation,Contextual Framing,High
A19K4ROWJ2IUTP,2200775,Books,This guide book covers a wide range of habitats: from,0,Product Reference,Product Reference,High
A24LNQBHSY9CPF,6178219,Books,"A timeless, very weird, Gothic, mystery, romance novel. Very much",0,Product Reference,Terse Evaluation,High
A3TYWLLZGB1EDR,000611718X,Books,** spoiler alert ** OMG... oh my gosh... this was,7,Terse Evaluation,Terse Evaluation,High
A1T2CGP49V4VIG,1046314,Books,This book has been around a long time. I read,3,Direct Evaluation,Contextual Framing,High
A1CNM2EUG989OC,6152465,Books,"""Comparable to Tolkien at best"" - That was the quote",3,Direct Evaluation,Evaluative Positioning,Medium
A2SZAEY94NY1UX,2433036,Books,"I would rate this higher if I could. There aren't,",7,Terse Evaluation,Evaluative Positioning,High
A1EC1KWFRWSAVQ,2322331,Books,I was delighted with Cauldwell's third book in her too-short,5,Affective Stance,Affective Stance,High
A21R91D6VE1PN4,2247399,Books,I truly did enjoy this book. I agree with other,3,Direct Evaluation,Affective Stance,High
A2YJF6C63YEG5A,2259842,Books,It seems most housewives liked this poorly written book. I,0,Product Reference,Evaluative Positioning,High
AS8X46XLHIB8F,2247399,Books,Apologists for the sadism that pervades this series say that,2,Evaluative Positioning,Evaluative Positioning,High
APHCOM80G3HYN,2005549,Books,Mr. Crichton has developed a habit of taking current technologic,6,Contextual Framing,Contextual Framing,Medium
A96AUNSF6GESO,2226723,Books,"As so many others, I had never even heard of",5,Affective Stance,Contextual Framing,High
AGBGCHUU94UGX,2008599,Books,"this is the most boring, dry read ever. I'm mad",3,Direct Evaluation,Direct Evaluation,High
A3FHSLWEMH7JD8,1384198,Books,The current self-help genre tends to be dwelling on hurts,0,Product Reference,Contextual Framing,High
AU2AFP3QJ4JCF,6064922,Books,I LOVE this Bible. Having formerly operated a Bible Bookstore,4,Specific Identification,Affective Stance,High
A3V8800RFAIWPV,2171856,Books,It may be impossible to write a survival book that,6,Contextual Framing,Evaluative Positioning,High
A3BIWTN2DA0YY2,2311216,Books,Agatha Christie wrote several novels that deal with international organizations,5,Affective Stance,Contextual Framing,High
A2WRLLNUTVBPSC,2005549,Books,The story was pacy and it was thrilling in parts.,3,Direct Evaluation,Direct Evaluation,High
A1MLSLGZNQH9AT,2171856,Books,"<div id=""video-block-R1X90OSLSZ3SST"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C17vdeuVHXS.mp4"" class=""video-url""><input",7,Terse Evaluation,Terse Evaluation,High
A1QMG8J14XZZIP,2210967,Books,I started on these books after watching the newest TV,1,Acquisition Narrative,Acquisition Narrative,High
A1NAWUPR4EC1FW,2552868,Books,I read this book years ago. It was the first,3,Direct Evaluation,Acquisition Narrative,High
A2HII4U9WQ0XUV,2005549,Books,"How do I hate ""Prey:a Novel""?----let me count the ways.",2,Evaluative Positioning,Contextual Framing,High
A2BIAR1V0PWO27,2258757,Books,This is book is not as bad as some reviewers,6,Contextual Framing,Evaluative Positioning,High
A24505CR98NLLV,3302245,Books,This is an adult book about a supernatural persona in,6,Contextual Framing,Product Reference,High
A29F7E5AH4D827,2259842,Books,I may be the only person in the world who,6,Contextual Framing,Evaluative Positioning,High
A2NJO6YE954DBH,2213311,Books,"""The Harlequin"" is Book 15 in the Anita Blake, Vampire",4,Specific Identification,Specific Identification,High
AO7KWFFM1DSWH,1844423,Books,This is one of the BEST version I have heard!,3,Direct Evaluation,Direct Evaluation,High
A3SO4SZPDNW0S3,1048767,Books,"Not in my top tier of Shakespeare plays, but there",7,Terse Evaluation,Evaluative Positioning,High
AJZEANIM8QBYS,2180618,Books,Kenneth Blanchard and Spencer Johnson birthed a monster writing style,1,Acquisition Narrative,Contextual Framing,Medium
A2MX6GO5GM2H7I,2005549,Books,"I had only read one other Crichton novel, Sphere, which",7,Terse Evaluation,Acquisition Narrative,Medium
A1OP1KFFBWIVES,6064922,Books,This reprint uses Roman script rather than the original Gothic,1,Acquisition Narrative,Product Reference,High
A1EWK56P06VT7R,2171856,Books,I've had the SAS Survival Manual for years and purchased,4,Specific Identification,Acquisition Narrative,High
A289PPWND7ZB7J,000612609X,Books,I read this book last summer and have yet to,1,Acquisition Narrative,Acquisition Narrative,High
A3HIUD3CRADWST,2259842,Books,"As both a student and teacher of history, I approached",0,Product Reference,Contextual Framing,High
AW4XAPK7JRJ63,2257556,Books,It is amazing to me how a person can write,6,Contextual Framing,Affective Stance,High
A2KHMU4PZNMAPC,2213311,Books,At this point in the series any improvement is a,6,Contextual Framing,Contextual Framing,Medium
A2R8D0FT5F6YIH,2310988,Books,A local bookstore recently had a huge sale of budget,1,Acquisition Narrative,Acquisition Narrative,High
AV1U8SBXHQOTR,2246791,Books,I am two thirds of the way through my first,6,Contextual Framing,Contextual Framing,High
A2EIVPYIETCIKF,2226162,Books,I am currently reading the 11th and final book in,6,Contextual Framing,Contextual Framing,High
A3RBGEV4IHL1XM,6157629,Books,I could not let this book down. People must have,3,Direct Evaluation,Affective Stance,High
A1FH9TBAO96PEW,6166032,Books,Volume 5 is O'Brian at his most adventurous and thrilling.,7,Terse Evaluation,Specific Identification,High
ANI00381ZIMEW,000614182X,Books,The first clue you have that Master and Commander is,2,Evaluative Positioning,Evaluative Positioning,Medium
ASY6KK1FIED52,2246791,Books,Kim Robinson's done some very compelling work with his Mars,6,Contextual Framing,Direct Evaluation,High
A39TRGJMNAK1XP,000217734X,Books,I am a professional photographer and I find this book,2,Evaluative Positioning,Contextual Framing,High
AKZJW4ZRFTKZD,2259842,Books,"Well,actually this book is too much fun to qualify as",3,Direct Evaluation,Evaluative Positioning,High
A31VILRRD7UICG,2247399,Books,"A Dance With Dragons is, for me, the least enjoyable",4,Specific Identification,Direct Evaluation,Medium
AXD81LK9824QK,6064922,Books,This book should never be read while wearing rose colored,2,Evaluative Positioning,Evaluative Positioning,High
A3GYIX99MDOHMM,4704746,Books,There is no way I can review Shakespeare's Complete Works,4,Specific Identification,Evaluative Positioning,High
A6138STCC4WT6,4244079,Books,"Little Women has been an endearing classic since its publication,",2,Evaluative Positioning,Contextual Framing,High
A28WJUJF6D2ULA,000611718X,Books,"Warleggan, the fourth novel in the twelve-book Poldark series, was",3,Direct Evaluation,Specific Identification,High
A2IWOXEV9ZI57O,3302245,Books,This book will make you throw rocks at ALL the,6,Contextual Framing,Direct Evaluation,High
A3KTPLXRCSP9FO,2008599,Books,"This book takes many, many pages to say in a",0,Product Reference,Evaluative Positioning,Medium
A3WHRFA6J9ZK8,1846590,Books,The Princess and the Goblin was one of my favorite,4,Specific Identification,Direct Evaluation,High
A26ZSYRPA1TCI5,000617695X,Books,"""The Great And Secret Show"" is a novel that is",3,Direct Evaluation,Specific Identification,Medium
A3JPNQ6R4JJ2UH,2247399,Books,"Finally finished reading ""A Dance with Dragons,"" by George R.R.",4,Specific Identification,Acquisition Narrative,High
A3T47OXWWL5XB,2247399,Books,this is a fine fat piggy of a book ...,3,Direct Evaluation,Direct Evaluation,Medium
A3OW49ZORKAU2F,4244079,Books,Thank goodness I didn't pay for this book. I decided,3,Direct Evaluation,Evaluative Positioning,Medium
A30W0FYKZZ6Y4I,4704746,Books,This book is BEAUTIFUL. It was more than I'd hoped,2,Evaluative Positioning,Affective Stance,High
A2A3VF06FR0C7D,2619059,Books,"Jacques Barzun in ""From Dawn to Decadence"" says that those",7,Terse Evaluation,Specific Identification,High
A2FQWV725FGE8S,2434547,Books,"Michael Reynolds is fleeing the police in Hungary, near the",4,Specific Identification,Contextual Framing,High
AURK2FGYW6OYR,4722124,Books,I really don't know what to think about this book...,3,Direct Evaluation,Evaluative Positioning,High
A1I7K5ZG6205JX,4502280,Books,This is the best money you'll ever spend on books!,3,Direct Evaluation,Direct Evaluation,High
A2X36H1LTGU4GC,3302245,Books,"Dracula is told through the diaries, journals and letters of",0,Product Reference,Contextual Framing,High
A3FKQMOM0FHDV2,2247399,Books,I have much enjoyed the first three books in this,6,Contextual Framing,Affective Stance,High
A115US2YWWZH87,2726874,Books,"This is an outstanding true story of the Burma war,",3,Direct Evaluation,Product Reference,High
A1O0RFLGCB216Y,000215725X,Books,"I was born and brought up in Delhi, and lived",5,Affective Stance,Contextual Framing,High
A21TZ6QPMY6QKE,2247399,Books,After waiting what seemed to be forever for this installment,6,Contextual Framing,Acquisition Narrative,Medium
A1G92L40ZWOUMY,2247399,Books,"big let down, not at all what i expected. first",7,Terse Evaluation,Terse Evaluation,High
A149QFHAWO22P9,2227282,Books,This is the first book that I read by Sidney,6,Contextual Framing,Contextual Framing,High
A3P299160L6X9N,2322331,Books,"Of the four Caudwell mysteries, this is the one to",4,Specific Identification,Evaluative Positioning,Medium
A2N88YOZ2TRLLT,1844423,Books,This book is about a boy named Digory and his,6,Contextual Framing,Product Reference,High
A1WTP99BOA0PGA,2258757,Books,"Stupendous as always, with plenty of depth to Sharpe as",7,Terse Evaluation,Direct Evaluation,High
A3LAZW1RCMMX9G,B00005AXIV,Electronics,"If you hate to focus your binoculars, these are the",2,Evaluative Positioning,Evaluative Positioning,High
A3SGQVKZ2288UK,B00004THDC,Electronics,"First, I need to disclose that I am entirely new",7,Terse Evaluation,Evaluative Positioning,High
A5LYS174YT1AN,B0000222MY,Electronics,I'm surprised by how much use I'm getting out of,5,Affective Stance,Affective Stance,High
AHUMIGULG1NYK,B000053HHD,Electronics,"Pros: - Outstanding sharpness, saturation, and bokeh - USM AF",7,Terse Evaluation,Terse Evaluation,High
A3UFCX1AE4TKZE,B00000DMA3,Electronics,"I've been using these for over a year now. Basically,",5,Affective Stance,Contextual Framing,High
AAR7CEPXYJA0T,B00002EQCW,Electronics,Durable. I have plugged in three computers into this 5,3,Direct Evaluation,Terse Evaluation,Medium
A3JSOLOAC9DTV1,B00004WLJ8,Electronics,I have no complaints about these. They're strong and UV,3,Direct Evaluation,Direct Evaluation,High
A2SZAO4ZYUGX6C,B00000K2YR,Electronics,Was not worth the money range is very limited and,6,Contextual Framing,Direct Evaluation,High
A101OAAMZYWQ3U,B00003CWE5,Electronics,I grabbed these cables with the impression that Monster's advertising,1,Acquisition Narrative,Acquisition Narrative,High
AJ8AQG2X9JJ2Y,B00005B6UF,Electronics,We have had the product for 12 months now. We,3,Direct Evaluation,Contextual Framing,High
A3BSMOB0ZJDG5Q,B00004YZLV,Electronics,I bought this camera not knowing much about cameras but,1,Acquisition Narrative,Acquisition Narrative,High
A1D496JVVQFHRR,140053271X,Electronics,I love the B&N Nook Simple Touch. I can't compare,4,Specific Identification,Affective Stance,High
A342N9697X0EF5,B00004T8R2,Electronics,Good product. Holds up to heavy use ... 6-12 K-6th,7,Terse Evaluation,Terse Evaluation,High
A273BT5RH8W0LD,B00005ATMI,Electronics,Before I decided to buy the Case Logic KSW320 Koskin,2,Evaluative Positioning,Acquisition Narrative,High
A3GGR547FOO9UA,B00004Z8BC,Electronics,Delivered on time & worked as expected. UPS battery replacements,7,Terse Evaluation,Terse Evaluation,Medium
A1MDV1OHF5JKVN,B00004SYLI,Electronics,I bought this cable modem router a few days after,1,Acquisition Narrative,Acquisition Narrative,High
A1EXGL6L0QQ0M5,B0000510R4,Electronics,"In an attempt to keep the bedroom nice and cool,",0,Product Reference,Contextual Framing,High
A2N1DQEZ7I62QP,B00001Z3H8,Electronics,I have mowed grass and done yard work wearing these,2,Evaluative Positioning,Contextual Framing,High
A2HZMAD2KDZO49,B00005129E,Electronics,We purchased these 12 Port Patch Panels for our installs,4,Specific Identification,Acquisition Narrative,High
A2PD27UKAD3Q00,B00004Y3UX,Electronics,"I had been saving up to buy two new amp/receivers,",7,Terse Evaluation,Acquisition Narrative,High
A3CEPFGG336O73,B000031XCM,Electronics,I switched to this lock from a lock that required,1,Acquisition Narrative,Acquisition Narrative,High
AJOZXSF28N5N5,B00004WHFM,Electronics,Thank goodness for these reviews...I bought DVD player based on,0,Product Reference,Acquisition Narrative,Medium
A2E13G610DEOFP,B00005AY7G,Electronics,Amazon shipped this player to me in record time just,1,Acquisition Narrative,Acquisition Narrative,High
APXFWNEAJR1O6,B00005AC8J,Electronics,I just returned from a 10 day trip to Disney,1,Acquisition Narrative,Contextual Framing,High
A30NZYWSJ5WT7I,B00001W0EQ,Electronics,I've had this product for about a year and half.,3,Direct Evaluation,Contextual Framing,High
APP45XD85ARYL,B000058EGT,Electronics,I work in the computer section of a mid-sized printing,1,Acquisition Narrative,Contextual Framing,High
AGWURWZUCZDJ9,B00004WCID,Electronics,Looking for a remote so you don't shake that camera?,3,Direct Evaluation,Evaluative Positioning,Medium
A1DHF6ETCP8WHK,9573212919,Electronics,I asked ? --Question: How to change region? Either in,7,Terse Evaluation,Terse Evaluation,High
ASL99TDING270,B00004U47J,Electronics,I bought this 6 years ago but should have returned,5,Affective Stance,Acquisition Narrative,High
A1LAKTB8SQ1KFE,B00004XO1V,Electronics,Well Santa gave me this for Xmas and I've already,5,Affective Stance,Acquisition Narrative,High
A21T0D2F7SKG5S,B000053HHD,Electronics,This is my favorite standard zoom lens that Canon makes.,5,Affective Stance,Product Reference,High
A1H9T8C628F02T,B00000J4L8,Electronics,I would never recommend another network card... this card was,3,Direct Evaluation,Evaluative Positioning,High
A1GLEIQLPUPSY5,B00000JCT8,Electronics,Not good. The mic is not good and the construction,3,Direct Evaluation,Terse Evaluation,High
A15HFIL37EBL9V,B00001P4ZH,Electronics,"... but great headphones, period, for any application. These are",3,Direct Evaluation,Terse Evaluation,High
A1YB29BIDULEYE,B00000J1EP,Electronics,"Well, I wouldn't record ""EXODUS'S"" 'Tempo of the Damned' on",7,Terse Evaluation,Evaluative Positioning,High
AZ4352XO4HH3M,B000058EGT,Electronics,This product is horrendous. After a few months it would,3,Direct Evaluation,Product Reference,Medium
A1HV99CZA0HVPB,1451529082,Electronics,The ONLY reason I finished this book is because I,2,Evaluative Positioning,Evaluative Positioning,High
A2LQZLGJ1KQ9EQ,B00005B6UF,Electronics,"This is my third Olympus Digital Camera, and I bought",5,Affective Stance,Specific Identification,High
A35SM0FTFOW5CS,B00000JBAT,Electronics,i recently purchased a rio pmp300. it's great. i'd like,4,Specific Identification,Acquisition Narrative,High
A1AQ7YPJKH68J0,B00005AC8W,Electronics,I've been using the Viking 128MB Smartmedia Card for several,6,Contextual Framing,Contextual Framing,High
A32UT0N3BGO8KN,B00004TS16,Electronics,I purchased this camera for daily use and I use,1,Acquisition Narrative,Acquisition Narrative,High
A27M5YYBSOJ814,B00004YZQ8,Electronics,Needed a general lens for a wedding after battling with,1,Acquisition Narrative,Acquisition Narrative,High
A2QFMDFM2SH864,B00004SPUN,Electronics,I was so excited to buy my first mp3 player,5,Affective Stance,Affective Stance,High
A3H6PPWWDIC8KX,B00005ATMB,Electronics,Mine is just about full and I have just placed,5,Affective Stance,Contextual Framing,Medium
A21U4DR8M6I9QN,B00004SABB,Electronics,"these glasses are small, protable and good for concerts and",3,Direct Evaluation,Direct Evaluation,High
A3JQ24JSONU58W,B000053HHD,Electronics,After years of using low and midrange lenses (primarily because,7,Terse Evaluation,Contextual Framing,High
A1W1V6RD1I9R2D,B00003OPEU,Electronics,I'm a private pilot and was looking for a GPS,6,Contextual Framing,Contextual Framing,High
A2GHFM7D00AMGW,B00004RDMR,Electronics,Boy - when this camera can get a good focus,2,Evaluative Positioning,Evaluative Positioning,Medium
A3DQWFWINN3V5A,B00004Z5M1,Electronics,There's not much to say about this USB cable. It's,3,Direct Evaluation,Evaluative Positioning,High
A14JBDSWKPKTZA,B00000JDF6,Electronics,I bought these Belkin cables. They are very nice quality.,3,Direct Evaluation,Acquisition Narrative,High
A2IXYZC295D33D,B00004T8R2,Electronics,Very poor quality plastic. Bought 3 of these to use,7,Terse Evaluation,Terse Evaluation,High
A4YWN8L4H80NI,B00004SY4H,Electronics,I listen to classical music and sound quality is very,5,Affective Stance,Contextual Framing,High
AO98CF90X59X6,B000053HC5,Electronics,"This is the sharpest lens of my 5 ""L"" lens",3,Direct Evaluation,Product Reference,High
A3ZP7LADWMPUC,B00005ATMI,Electronics,After struggling for years to find a place for all,1,Acquisition Narrative,Contextual Framing,High
A2B3CIEV3SW6EG,B00000J1U5,Electronics,"I obtained this for my TiVo, to replace the wireless",4,Specific Identification,Acquisition Narrative,High
A2PDYPDRJ5WRR0,B00004VXNF,Electronics,According to my meter i am getting just over 2WaTTS,5,Affective Stance,Contextual Framing,High
A1PEITQQFYXYLM,B00001OWYM,Electronics,"I've been digitizing a lot of family movies, videos, etc.,",3,Direct Evaluation,Contextual Framing,High
A5BR77YAIE341,B00001P4XA,Electronics,I tried the Sure e2c's as an attempt to upgrade,4,Specific Identification,Acquisition Narrative,High
ABMZGK7Z5I9N0,B00004U3AW,Electronics,I've been looking at Digital Camera's for about a year,5,Affective Stance,Contextual Framing,High
A1UQRSCLF8GW1T,B00001P4ZH,Electronics,I bought the Koss PortaPro Headphones to replace the earbuds,4,Specific Identification,Acquisition Narrative,High
A3N0SXVR07R57K,B00001WRSJ,Electronics,"I have heard problems about knock-off MDR-V6's on this site,",4,Specific Identification,Evaluative Positioning,Medium
A5JLAU2ARJ0BO,B000056PYW,Electronics,"The gel inserts on the Jabra is quite uncomfortable, at",3,Direct Evaluation,Product Reference,High
AQJPHHWVGRESB,B00004Z6BJ,Electronics,Some of these cards were shipped with the wrong EEPROM,6,Contextual Framing,Contextual Framing,High
A1KY5G5FP31F2F,B0000226L0,Electronics,The Sangean ATS-404 AM/FM Digital Shortwave World Band Receiver is,4,Specific Identification,Specific Identification,High
A39GTSUA8RSD8O,B00001P4ZH,Electronics,"These headphones deliver way above their price point. OK, they're",3,Direct Evaluation,Direct Evaluation,High
AYR1AP117UBVQ,B00001P584,Electronics,This product does not work. I purchased this product to,3,Direct Evaluation,Product Reference,Medium
A3IIOLLVVSY2VQ,B000001OMR,Electronics,"not too comfortable, maybe would be if my ears were",5,Affective Stance,Evaluative Positioning,High
A3IBOQ8R44YG9L,B00000JHWX,Electronics,I can't find a compelling reason to recommend a higher,6,Contextual Framing,Evaluative Positioning,High
A3AP1YQY23PMZU,B00004VUGJ,Electronics,This is the best pointing device I have ever owned.,3,Direct Evaluation,Direct Evaluation,High
A10BS14KMOI744,B00004SY4H,Electronics,"These sound fantastic. More natural, clear and detailed than the",7,Terse Evaluation,Direct Evaluation,High
AS6ZN5WKT04AT,B00004TVSP,Electronics,As an amateur photographer on a tight budget this flash,1,Acquisition Narrative,Contextual Framing,High
A398S4SL2Z6U6S,B00000J1TX,Electronics,This is my second Belkin cable. The first one I,3,Direct Evaluation,Specific Identification,High
A3TUZOJZM9008Y,B00000J4M9,Electronics,"My cable modem makes for great, fast internet access... for",7,Terse Evaluation,Direct Evaluation,High
A2QS3VN107MRZH,B00004UFQR,Electronics,I bought 2 AudioSource Amp One/A's and am running them,4,Specific Identification,Acquisition Narrative,High
A32GW1R9MW0XOH,B0000510R4,Electronics,This plugs into the socket and the fancy electronic washing,1,Acquisition Narrative,Product Reference,High
A20Z4CE06K4UU3,B00000K2YR,Electronics,I head up a disaster preparedness CB radio group in,1,Acquisition Narrative,Contextual Framing,High
ADGBVQES7UWQA,B00001WRSJ,Electronics,Best headphones for the money. Bought my first set in,0,Product Reference,Direct Evaluation,Medium
AOJJCLFIZ3Y0J,B0000510R4,Electronics,Most surge protectors don't start clamping until 300 volts; if,7,Terse Evaluation,Evaluative Positioning,High
A3CRL8O7RVMYLG,B00001WRSJ,Electronics,"I had my MDR 7506's for about five years, great",4,Specific Identification,Contextual Framing,High
AUITG1DJ3QUGK,B00004SYNX,Electronics,I read a good many reviews before selecting the d-link,1,Acquisition Narrative,Contextual Framing,High
AKDTRP9QVHTCI,B00004U4MX,Electronics,Love this product. It's stylish and very compact. It fits,3,Direct Evaluation,Affective Stance,High
A22BPC7LRSGSYQ,B000001OL6,Electronics,"I have found, through my experience, that Maxell XLII high",7,Terse Evaluation,Evaluative Positioning,Medium
AAHQAFQ81K7BB,B00003CWG4,Electronics,Previously Adelphia had setup my cable using two daisy chained,5,Affective Stance,Contextual Framing,High
AP6H19OGW9SYM,B00005AY7G,Electronics,It a ok device. The sound is poor. The battery,3,Direct Evaluation,Terse Evaluation,High
A2EBL4LF1O5V5X,B00004UFRO,Electronics,Nothing crazy. build quality is kind of cheap feeling. but,7,Terse Evaluation,Terse Evaluation,High
A3MDSY3TO5Y027,B00004ZCBQ,Electronics,Aerial photographs typically have an excessive blue tint and haze,1,Acquisition Narrative,Contextual Framing,High
AZVSHHPRIXYBD,B00005ATMG,Electronics,"the one that holds 336 is the same thing really,",3,Direct Evaluation,Evaluative Positioning,Medium
AJOSEGUT95AU2,8866139874,Electronics,"Apparently the other reviews highlighted the ""bad features"" of this",0,Product Reference,Evaluative Positioning,High
A19OEBD4ZUFGIJ,B00004YRVY,Electronics,A very simple camera that yields acceptable photos with a,1,Acquisition Narrative,Product Reference,High
AVMGFQ9FQOLYW,B00005853Z,Electronics,I had a Logtech Trackman Marble FX for about 8,4,Specific Identification,Acquisition Narrative,High
A231WM2Z2JL0U3,B00005AW1X,Electronics,"It's not expensive, and it performs admirably well at its",5,Affective Stance,Direct Evaluation,High
